satisfaction_level,number_project,average_montly_hours,Work_accident,promotion_last_5years,salary,left
38,2,157,0,0,low,1
80,5,200,0,0,medium,1
11,7,200,0,0,medium,1
72,5,200,0,0,low,1
37,2,159,0,0,low,1
41,2,153,0,0,low,1
10,6,200,0,0,low,1
92,5,200,0,0,low,1
89,5,200,0,0,low,1
42,2,142,0,0,low,1
45,2,135,0,0,low,1
11,6,200,0,0,low,1
84,4,200,0,0,low,1
41,2,148,0,0,low,1
36,2,137,0,0,low,1
38,2,143,0,0,low,1
45,2,160,0,0,low,1
78,4,200,0,0,low,1
45,2,160,1,1,low,1
76,5,200,0,0,low,1
11,6,200,0,0,low,1
38,2,147,0,0,low,1
9,6,200,0,0,low,1
46,2,139,0,0,low,1
40,2,158,0,0,low,1
89,5,200,0,0,low,1
82,4,200,0,0,low,1
40,2,135,0,0,low,1
41,2,128,0,0,low,1
38,2,132,0,0,low,1
9,6,200,0,0,low,1
45,2,134,0,0,low,1
40,2,145,0,0,low,1
45,2,140,0,0,low,1
84,4,200,0,0,low,1
10,6,200,0,0,low,1
38,2,137,0,0,low,1
45,2,126,0,0,low,1
11,6,200,0,0,low,1
41,2,152,0,0,low,1
87,5,200,0,0,low,1
45,2,158,0,0,low,1
40,2,127,0,0,low,1
10,7,200,0,0,low,1
9,6,200,0,0,low,1
84,3,182,0,0,low,1
40,2,147,0,0,low,1
57,3,200,0,0,low,1
40,2,148,0,0,low,1
43,2,147,0,0,low,1
13,6,152,0,0,low,1
44,2,135,0,0,low,1
38,2,134,0,0,low,1
39,2,132,0,0,low,1
10,7,200,0,0,low,1
37,2,140,0,0,low,1
11,7,200,0,0,low,1
10,6,200,0,0,low,1
38,2,128,0,0,low,1
85,4,200,0,0,low,1
85,5,200,0,0,medium,1
11,7,200,0,0,medium,1
10,6,200,0,0,medium,1
36,2,132,0,0,medium,1
11,6,200,0,0,medium,1
81,6,161,0,0,medium,1
43,2,153,0,0,medium,1
90,4,200,0,0,medium,1
76,5,200,1,0,medium,1
43,2,135,0,0,medium,1
74,2,200,0,0,medium,1
9,5,200,0,0,medium,1
45,2,149,0,0,high,1
9,7,200,0,0,low,1
11,6,200,0,0,medium,1
11,7,200,0,0,medium,1
10,6,200,0,0,medium,1
40,2,137,0,0,medium,1
43,2,157,0,0,low,1
39,2,142,0,0,low,1
45,2,140,0,0,low,1
38,2,151,0,0,low,1
79,4,139,0,1,low,1
84,4,200,0,0,low,1
11,6,200,0,0,low,1
11,6,200,0,0,low,1
17,5,200,0,0,low,1
44,2,132,0,0,low,1
37,2,130,0,0,low,1
10,6,200,0,0,low,1
40,2,130,0,0,low,1
89,5,200,0,0,low,1
42,2,143,0,0,low,1
46,2,129,0,0,low,1
9,6,200,0,0,low,1
37,2,155,0,0,low,1
10,6,200,0,0,low,1
10,6,200,0,0,low,1
11,6,200,0,0,low,1
90,5,200,0,0,medium,1
38,2,154,0,0,medium,1
36,2,147,0,0,medium,1
42,2,150,0,0,medium,1
9,7,200,0,0,medium,1
43,2,158,0,0,medium,1
24,7,200,0,0,medium,1
91,4,200,0,0,medium,1
44,2,148,0,0,medium,1
71,3,177,0,0,medium,1
40,2,155,0,0,medium,1
43,2,144,0,0,medium,1
9,6,200,0,0,high,0
43,2,160,0,0,low,1
90,4,200,0,0,medium,1
84,5,200,0,0,medium,1
37,2,137,0,0,medium,1
86,5,200,0,0,medium,1
11,6,200,0,0,low,1
37,2,133,0,0,low,1
40,2,132,0,0,low,1
14,4,158,1,0,low,1
40,2,135,0,0,low,1
75,4,200,0,0,low,1
11,6,200,1,0,low,1
46,2,138,0,0,low,1
11,6,200,0,0,low,1
38,2,132,0,0,low,1
70,3,183,0,0,low,1
9,6,200,0,0,low,1
37,2,151,0,0,low,1
10,6,200,0,0,low,1
38,2,140,0,0,low,1
90,5,200,0,0,low,1
44,2,138,0,0,low,1
36,2,132,0,0,low,1
31,7,133,0,0,low,1
10,6,200,1,0,low,1
42,2,129,0,0,low,1
74,4,200,0,0,low,1
73,5,200,0,0,low,1
9,6,200,0,0,low,1
45,2,155,0,0,low,1
11,6,200,0,0,low,1
37,2,152,0,0,low,1
84,4,200,0,0,low,1
41,2,151,0,0,low,1
76,4,200,0,0,low,1
11,6,200,0,0,low,1
84,4,200,1,0,low,1
39,2,147,0,0,low,1
11,6,200,0,0,low,1
45,2,154,0,0,low,1
37,2,143,0,0,low,1
40,2,155,0,0,low,1
39,2,160,0,0,low,1
11,6,200,0,0,low,1
83,5,200,0,0,low,1
11,6,200,0,0,low,1
39,2,136,0,0,low,1
45,2,132,0,0,low,1
10,7,200,0,0,low,1
90,5,200,0,0,low,1
45,2,147,0,0,low,1
79,5,200,0,0,low,1
90,5,200,0,0,low,1
11,7,200,0,0,low,1
43,2,129,0,0,low,1
31,5,132,0,0,low,1
32,2,135,0,0,low,1
45,2,158,0,0,low,1
81,4,200,0,0,low,1
41,2,160,0,1,low,1
11,7,200,0,0,low,1
10,6,200,0,0,low,1
70,2,200,0,0,low,1
54,4,164,0,0,low,1
41,2,148,0,0,low,1
38,2,140,0,0,medium,1
37,2,127,0,0,medium,1
11,6,200,0,0,medium,1
40,2,146,0,0,medium,1
10,6,200,0,0,medium,1
89,5,200,0,0,medium,1
11,6,200,0,0,medium,1
36,2,141,0,0,medium,1
40,2,127,0,0,medium,1
9,6,200,0,0,medium,1
40,2,143,0,0,medium,1
37,2,152,0,0,medium,1
44,2,156,0,0,high,1
9,7,200,0,0,low,1
92,4,200,1,0,medium,1
74,4,200,0,0,medium,1
9,6,200,0,0,medium,1
89,4,200,0,0,medium,1
9,6,200,0,0,low,1
27,7,200,0,0,low,1
10,6,200,0,0,low,1
10,7,200,0,0,low,1
77,5,200,0,0,low,1
90,5,200,0,0,low,1
39,2,135,0,0,low,1
76,5,200,0,0,low,1
10,6,200,0,0,low,1
87,5,200,0,0,low,1
38,2,153,0,0,low,1
77,5,200,0,0,low,1
78,4,200,0,0,low,1
44,2,128,0,0,low,1
38,2,153,0,0,low,1
43,2,156,0,0,low,1
39,4,200,0,0,low,1
88,5,200,0,0,low,1
45,2,153,0,0,low,1
40,2,151,0,0,low,1
36,2,155,0,0,low,1
36,2,158,0,0,low,1
90,5,200,0,0,low,1
43,2,131,0,0,low,1
89,5,200,0,0,low,1
10,6,200,0,0,low,1
37,2,135,0,0,low,1
37,2,153,0,0,low,1
87,5,200,0,0,low,1
40,2,149,0,0,low,1
90,4,200,0,0,low,1
37,2,158,0,0,low,1
44,2,149,0,0,low,1
85,5,200,0,0,low,1
78,5,200,0,0,low,1
42,2,159,0,0,low,1
92,5,200,0,0,low,1
11,6,200,0,0,low,1
42,2,134,0,0,low,1
48,4,200,0,0,low,1
83,4,200,0,0,low,1
40,2,151,0,0,low,1
43,2,135,0,0,low,1
43,2,146,0,0,low,1
10,7,200,0,0,low,1
10,7,200,0,0,low,1
37,2,156,0,0,low,1
38,2,156,0,0,low,1
40,2,128,0,0,low,1
89,5,200,0,0,low,1
45,2,155,0,0,low,1
37,2,159,0,0,low,1
46,2,148,0,0,low,1
87,4,200,0,0,low,1
11,6,200,0,0,low,1
79,5,200,0,0,low,1
79,5,200,0,0,low,1
19,7,192,0,0,low,1
87,4,200,0,0,low,1
60,2,200,0,0,low,1
44,2,156,0,0,medium,1
11,6,200,1,0,medium,1
42,2,156,0,0,medium,1
88,5,200,1,0,medium,1
11,6,200,0,0,medium,1
46,2,154,0,0,medium,1
82,5,200,0,0,medium,1
44,2,131,0,0,medium,1
11,6,200,0,0,medium,1
42,2,139,0,0,medium,1
84,4,200,0,0,medium,1
11,6,200,0,0,medium,1
45,2,129,0,0,high,1
38,2,156,0,0,low,1
38,6,139,0,0,medium,1
44,2,127,0,0,medium,1
